timestamp,x,y
1743428910607.0,500.25186495751217,500.018220018203
1743428910664.0,503.8591173009392,501.8664102228187
1743428910717.0,519.2414328328683,512.7732964990427
1743428910767.0,560.9710776621198,539.8019031113853
1743428910816.0,625.1314271236466,504.5272074998836
1743428910864.0,735.2212868616781,399.41306312915515
1743428910915.0,962.4238088990572,414.6240967498516
1743428910966.0,1026.8584462778551,452.4359872517871
1743428911015.0,1205.4452114698609,379.5159902811726
1743428911065.0,1282.9194074684353,415.53650278863944
1743428911114.0,1306.5964863695433,354.6632375922745
1743428911164.0,1350.2042184589977,138.7995270658495
1743428911214.0,1305.8447906485171,155.67522880316554
1743428911264.0,1211.0810249044714,6.547531350768992
1743428911314.0,1269.702850556146,39.19850411561647
1743428911363.0,1248.727644821053,-17.34204574236732
1743428911417.0,1178.8486681960264,-17.590231554718244
1743428911470.0,1120.8209179012226,-124.86357247789047
1743428911520.0,1124.6920625679275,-114.30244426540165
1743428911570.0,1078.4518947583758,-100.36360158677775
1743428911621.0,1091.010309995746,-76.22079810911684
1743428911671.0,1024.3214959270006,-59.331379031752775
1743428911727.0,1103.055493407365,-12.905516717684108
1743428911778.0,1036.849793420113,194.90945625442728
1743428911830.0,864.4525076904839,307.05810450940885
1743428911882.0,819.5509953311611,481.47771053818803
1743428911936.0,575.8503990847623,725.2082776027911
1743428911991.0,644.0675437862441,689.7941321511421
1743428912047.0,611.6538279779255,805.037841756371
1743428912107.0,679.4761740692585,749.3605741506095
1743428912162.0,705.1304823160979,594.1178142623135
1743428912217.0,634.9355924180094,628.6288305278747
1743428912277.0,689.3795233413306,707.9164130434555
1743428912333.0,684.1990411782384,753.637478493238
1743428912389.0,691.3422622808323,763.1059441843678
1743428912444.0,709.5918489996308,722.7068678277437
1743428912501.0,864.923151743665,710.757723168068
1743428912556.0,694.0027743398979,1038.5341958869885
1743428912612.0,710.7106847337218,1248.942779577269
1743428912668.0,559.0520994789695,1466.8352912654257
1743428912724.0,532.342437198089,1720.7846228771673
1743428912779.0,389.23534235900536,1494.613288557303
1743428912835.0,579.2640631572874,1591.6564506022776
1743428912890.0,511.09762892868764,1432.6551840765544
1743428912944.0,573.0515945894688,1343.768960846276
1743428912999.0,642.9655201704375,1310.6413530730886
1743428913051.0,527.7476104111136,1212.2285147766183
1743428913102.0,565.0555592269288,1060.2994903324698
1743428913153.0,547.7116531358338,1139.8499602932013
1743428913203.0,573.8768397414539,1029.5042048710118
1743428913252.0,616.2920746303311,1008.7773626625831
1743428913303.0,720.6372083902369,879.0618174507728
1743428913356.0,855.4110993570639,888.5144322727468
1743428913412.0,805.7669563517752,884.5721847623979
1743428913465.0,659.6973130782652,520.8275002090653
1743428913519.0,749.8172125872546,547.4525040263991
1743428913573.0,775.5859516280191,616.1066021504862
1743428913633.0,614.7563805187032,632.0651538443914
1743428913690.0,697.8715600414126,676.11229228834
1743428913747.0,671.7523184238977,583.905142218189
1743428913806.0,801.6331197042806,811.1062726598835
1743428913867.0,538.7951531442272,559.85377941001
1743428913923.0,475.6378131011577,437.4191114404429
1743428913983.0,409.7863417380841,449.5273835258326
1743428914043.0,560.0530841399509,545.0734795211112
1743428914101.0,687.8705030791555,569.2282032108153
1743428914161.0,812.298165675613,642.4639749293723
1743428914221.0,724.7869846833264,528.4957979330086
1743428914282.0,561.4850797173839,770.0900485296577
1743428914342.0,576.2676117054918,827.2536074566834
1743428914401.0,637.3091531254466,959.6204218768702
1743428914460.0,664.1558940615605,1060.3339534356621
1743428914517.0,661.515348715958,1001.2542474186698
1743428914575.0,773.3890011801618,1084.119459479502
1743428914635.0,808.4210856301474,932.5450045311303
1743428914695.0,852.7223808276668,902.8063737681232
1743428914756.0,810.6878155393472,868.9569322471227
1743428914816.0,532.3557967683375,1076.5348360053815
1743428914876.0,637.4253042396929,673.1846358980131
1743428914935.0,575.5808804356068,778.4647620806833
1743428914995.0,582.6211273988241,577.5672072633315
1743428915055.0,381.36976191216877,695.3356737723723
1743428915113.0,531.6006516382274,671.2936281430794
1743428915171.0,597.491041188968,904.0367493887783
1743428915229.0,572.2097336000483,732.0104330254363
1743428915290.0,548.4466680174496,914.6499165320856
1743428915350.0,287.43333528222166,1335.8104529541629
